"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Patrick Corbin","Nationals","13","9","0","0","3.68","32","32","191.0","173","78","24","216","62","1.23","10.16","2.94","3.65","4.2","44.1","9323"
"Charlie Morton","Rays","13","8","0","0","3.41","31","31","180.0","152","68","19","208","60","1.18","10.42","3.02","3.49","4.1","58.7","4676"
"Lance Lynn","Rangers","14","10","0","0","4.06","32","32","191.0","180","86","27","210","69","1.30","9.87","3.24","4.03","4.1","124.1","2520"
"Hyun-Jin Ryu","Blue Jays","11","10","0","0","4.02","31","31","182.0","184","81","29","167","38","1.22","8.23","1.86","4.15","3.1","147.4","14444"
"Garrett Richards","Padres","9","8","0","0","3.92","26","26","150.0","137","66","18","155","57","1.29","9.27","3.40","3.93","2.8","274.7","9784"
"Dallas Keuchel","White Sox","12","11","0","0","4.30","31","31","187.0","194","90","25","149","62","1.36","7.17","2.98","4.46","2.5","267.8","9434"
"Martin Perez","Red Sox","10","9","0","0","4.81","29","29","168.0","183","90","22","126","63","1.47","6.77","3.39","4.63","1.9","594.8","6902"
"Nathan Eovaldi","Red Sox","9","7","0","0","4.60","26","26","146.0","150","75","23","141","48","1.35","8.63","2.98","4.39","1.8","441.8","9132"
"J.A. Happ","Yankees","9","8","0","0","4.59","24","24","139.0","137","71","24","128","45","1.31","8.29","2.93","4.70","1.8","436.9","7410"
"Adam Wainwright","Cardinals","10","10","0","0","4.45","28","28","155.0","161","76","21","132","56","1.40","7.69","3.25","4.47","1.7","561.0","2233"
"Wade Miley","Reds","10","11","0","0","4.67","28","28","160.0","168","83","24","136","64","1.45","7.66","3.60","4.76","1.6","523.2","8779"
"Brett Anderson","Brewers","9","10","0","0","4.60","26","26","148.0","168","76","20","91","42","1.42","5.52","2.54","4.64","1.6","587.9","8223"
"Jordan Lyles","Rangers","8","9","0","1","5.23","23","28","137.0","143","79","25","128","54","1.44","8.44","3.53","4.99","1.5","480.9","7593"
"Anibal Sanchez","Nationals","9","10","0","0","4.95","29","29","166.0","174","91","31","145","58","1.40","7.84","3.15","5.02","1.4","425.7","3284"
"Craig Kimbrel","Cubs","4","3","35","1","3.47","0","65","65.0","46","25","8","96","32","1.20","13.32","4.41","3.51","1.3","135.8","6655"
"Gio Gonzalez","White Sox","6","7","0","0","4.66","21","21","120.0","119","62","19","108","51","1.42","8.06","3.81","4.82","1.2","565.3","7448"
"Zack Britton","Yankees","3","2","1","18","3.44","0","65","65.0","57","25","4","61","31","1.36","8.42","4.33","3.74","0.9","531.9","3240"
"Drew Pomeranz","Padres","3","3","1","13","3.31","0","58","58.0","46","21","6","77","25","1.22","11.98","3.82","3.27","0.9","519.7","11426"
"Adam Ottavino","Yankees","5","3","2","16","3.91","0","68","68.0","53","30","9","90","38","1.34","11.93","4.97","4.14","0.8","530.2","1247"
"Joe Kelly","Dodgers","4","3","0","18","3.41","0","60","60.0","51","23","5","67","26","1.28","10.08","3.94","3.59","0.8","597.6","9761"
"Joakim Soria","Athletics","4","2","2","16","3.84","0","62","62.0","55","26","8","67","21","1.23","9.76","3.02","3.84","0.7","594.5","6941"
"Jake Diekman","Athletics","4","3","0","15","3.50","0","63","63.0","48","24","6","81","36","1.34","11.52","5.17","3.79","0.7","600.7","5003"
"Justin Wilson","Mets","4","3","2","16","3.57","0","60","60.0","49","24","7","75","29","1.30","11.18","4.38","3.73","0.7","599.5","4301"
"Oliver Perez","Indians","4","3","0","18","3.95","0","63","63.0","56","28","9","71","22","1.24","10.20","3.11","4.16","0.5","999.0","1514"
"Jeurys Familia","Mets","3","3","0","14","3.77","0","60","60.0","53","25","5","64","31","1.41","9.63","4.69","3.83","0.5","597.3","5114"
"David Phelps","Brewers","3","3","0","17","4.06","0","60","60.0","55","27","8","62","26","1.35","9.35","3.84","4.18","0.5","999.0","6316"
"Jesse Chavez","Rangers","4","3","1","17","4.64","0","68","68.0","71","35","12","63","19","1.33","8.29","2.57","4.56","0.4","999.0","5448"
"Daniel Hudson","Nationals","4","4","15","11","4.41","0","65","65.0","61","32","10","66","28","1.37","9.11","3.85","4.59","0.4","292.8","7146"
"Tyson Ross","","3","5","0","0","4.67","11","11","64.0","65","33","8","51","29","1.46","7.09","3.98","4.67","0.4","999.0","7872"
"Clay Buchholz","","3","4","0","0","5.06","10","10","55.0","60","31","10","41","17","1.39","6.68","2.75","5.07","0.4","999.0","3543"
"Sergio Romo","Twins","3","3","3","14","4.66","0","67","67.0","66","35","12","66","22","1.32","8.93","2.92","4.67","0.4","543.9","9817"
"Ervin Santana","","2","3","0","0","5.11","8","8","47.0","50","27","9","35","15","1.37","6.57","2.87","5.24","0.3","999.0","3200"
"Andrew Miller","Cardinals","3","3","3","8","3.53","0","45","45.0","37","18","5","55","19","1.24","11.04","3.78","3.82","0.3","494.1","6785"
"Derek Holland","Pirates","3","4","0","1","4.87","6","31","63.0","63","34","10","60","29","1.46","8.58","4.12","4.88","0.3","999.0","4141"
"Brad Brach","Mets","2","2","0","8","3.90","0","40","40.0","36","17","4","43","18","1.34","9.57","4.07","3.91","0.2","999.0","6627"
"Matt Harvey","","2","3","0","0","5.26","8","8","47.0","51","27","9","36","15","1.42","6.98","2.94","5.20","0.2","999.0","11713"
"Marco Estrada","","3","4","0","0","5.63","11","11","65.0","69","41","14","50","25","1.46","6.94","3.50","5.68","0.2","999.0","1118"
"Kelvin Herrera","White Sox","3","2","0","9","4.51","0","48","48.0","47","24","8","47","17","1.33","8.88","3.11","4.55","0.2","999.0","6033"
"Tommy Milone","","2","3","0","0","5.81","8","8","46.0","53","30","12","36","12","1.43","7.05","2.44","5.86","0.1","999.0","7608"
"Tyler Clippard","Twins","2","2","0","12","4.71","0","55","55.0","51","29","11","60","20","1.29","9.77","3.34","4.81","0.1","598.6","5640"
"Trevor Cahill","Giants","3","3","0","6","4.15","2","42","49.0","47","23","6","46","19","1.34","8.31","3.46","4.18","0.1","999.0","6249"
"Blake Wood","","1","1","0","0","4.18","0","25","25.0","24","12","3","25","11","1.41","8.87","4.00","4.09","0.1","999.0","1345"
"Francisco Liriano","","1","1","0","3","4.29","0","28","28.0","25","13","4","29","14","1.41","9.45","4.53","4.54","0.1","999.0","3201"
"Zach Duke","","2","1","0","0","4.22","0","25","25.0","24","12","3","22","12","1.45","8.09","4.41","4.47","0.0","999.0","3840"
"Aaron Loup","","0","0","0","1","3.76","0","10","10.0","9","4","1","10","4","1.32","9.06","3.49","4.04","0.0","999.0","10343"
"Bud Norris","","1","1","0","1","4.30","0","10","10.0","9","5","1","11","4","1.36","10.22","3.92","4.34","0.0","999.0","9492"
"Edwin Jackson","Diamondbacks","1","1","0","0","5.68","2","2","9.0","10","6","2","7","4","1.55","7.12","4.04","5.51","0.0","999.0","1841"
"Tony Sipp","","1","1","0","0","4.55","0","20","20.0","19","10","3","19","8","1.38","8.63","3.68","4.62","0.0","999.0","8280"
"Tyler Lyons","Yankees","0","0","0","1","4.58","0","5","5.0","5","3","1","6","2","1.31","9.95","3.45","4.72","0.0","999.0","11334"
"Jeanmar Gomez","","1","1","0","0","4.72","0","20","20.0","22","10","3","16","7","1.45","7.16","3.32","4.55","0.0","999.0","9033"
"Javy Guerra","Nationals","0","0","0","1","4.69","0","5","5.0","5","3","1","4","2","1.40","7.95","3.39","4.61","0.0","999.0","7407"
"Cody Allen","","2","2","2","4","5.26","0","32","32.0","31","19","6","35","17","1.50","9.76","4.80","5.20","0.0","600.4","12183"
"Jerry Blevins","","0","0","0","1","4.13","0","5","5.0","4","2","1","6","2","1.35","10.05","4.18","4.34","0.0","999.0","7841"
"David Robertson","Phillies","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.21","0.0","999.0","8241"
"Trevor Rosenthal","","2","2","2","7","4.81","0","40","40.0","35","21","4","46","30","1.64","10.41","6.75","4.72","0.0","600.3","10745"
"Hector Santiago","","0","1","0","1","5.34","0","10","10.0","10","6","2","10","5","1.50","8.63","4.44","5.44","0.0","999.0","4026"
"Shawn Kelley","","1","1","0","0","4.86","0","25","25.0","25","13","5","25","7","1.31","8.93","2.61","4.96","0.0","600.1","7773"
"AJ Ramos","","1","1","0","0","4.89","0","25","25.0","23","14","4","27","15","1.52","9.56","5.27","5.01","0.0","999.0","8350"
"Josh Tomlin","","2","2","0","3","4.93","0","33","33.0","37","18","7","25","4","1.26","6.76","1.14","4.93","0.0","999.0","9388"
"James Shields","","1","2","0","0","5.81","5","5","28.0","31","18","6","21","12","1.53","6.84","3.78","5.99","-0.1","999.0","7059"
"Greg Holland","","3","3","4","11","4.82","0","55","55.0","52","29","8","54","33","1.55","8.78","5.42","4.92","-0.1","598.3","7196"
